site,flip_2020,flip_2021,flip_2022,flip_2023,flip_2024,flip_2025
blue,10/30/20,11/9/21,11/7/22,10/31/23,10/23/24,10/16/25
black,,11/10/21,11/8/22,11/1/23,10/23/24,11/7/25
creosote,,,11/9/22,11/1/23,10/22/24,11/7/25
jsav,,,,10/31/23,10/21/24,11/7/25
pj,,,,,10/22/24,10/23/25
